,,,Cl,,,,Alpha
-0.60107,-0.46523,-0.1442,0.013163,0.16186,0.49578,0.59626,-180
-0.60286,-0.43089,-0.11329,0.026578,0.18898,0.52046,0.60026,-179.5
-0.60404,-0.39511,-0.079191,0.047882,0.22605,0.54403,0.60558,-179
-0.60402,-0.35831,-0.043119,0.075962,0.26754,0.56621,0.61212,-178.5
-0.60221,-0.32092,-0.0062955,0.10971,0.30805,0.58673,0.61975,-178
-0.598,-0.28337,0.030074,0.14801,0.34497,0.60529,0.62836,-177.5
-0.5908,-0.24609,0.065796,0.18977,0.37881,0.62161,0.63784,-177
-0.58001,-0.2095,0.10235,0.23385,0.4102,0.63541,0.64808,-176.5
-0.56504,-0.17404,0.14136,0.27916,0.4398,0.64641,0.65894,-176
-0.54529,-0.13853,0.18352,0.32455,0.4686,0.65461,0.67033,-175.5
-0.52015,-0.097916,0.2269,0.36825,0.49829,0.66049,0.68213,-175
-0.48904,-0.050974,0.26592,0.4081,0.53066,0.66458,0.69421,-174.5
-0.45206,-0.0043592,0.29663,0.44192,0.56744,0.6674,0.70647,-174
-0.41256,0.03598,0.32747,0.46843,0.60819,0.66948,0.7188,-173.5
-0.3742,0.071248,0.36764,0.49418,0.64842,0.67135,0.73108,-173
-0.33733,0.10478,0.41255,0.52958,0.68325,0.67353,0.74323,-172.5
-0.30132,0.13988,0.45393,0.58507,0.70841,0.67643,0.75514,-172
-0.26551,0.17823,0.49114,0.66357,0.72381,0.68021,0.76673,-171.5
-0.22899,0.21836,0.52949,0.73155,0.73116,0.68495,0.77789,-171
-0.18933,0.25845,0.56987,0.77254,0.73213,0.69077,0.78854,-170.5
-0.14449,0.2967,0.60439,0.79753,0.72844,0.69775,0.79871,-170
-0.096964,0.33227,0.63351,0.81387,0.72176,0.70601,0.8086,-169.5
-0.050724,0.36622,0.67515,0.82348,0.7138,0.71563,0.8184,-169
-0.0097455,0.39988,0.7291,0.82801,0.70625,0.72649,0.82833,-168.5
0.022108,0.43424,0.77815,0.82908,0.70081,0.73815,0.83859,-168
0.046054,0.4663,0.81388,0.82832,0.69876,0.7502,0.84936,-167.5
0.070431,0.49254,0.84091,0.82736,0.69994,0.76218,0.86071,-167
0.10411,0.52306,0.86478,0.82776,0.70388,0.77368,0.87244,-166.5
0.1533,0.57282,0.88793,0.82974,0.7101,0.78432,0.88436,-166
0.20861,0.65173,0.90757,0.83228,0.71812,0.79437,0.89625,-165.5
0.25505,0.70887,0.92109,0.83436,0.72746,0.80443,0.90791,-165
0.28553,0.73343,0.92899,0.83492,0.73765,0.8151,0.91913,-164.5
0.30951,0.77649,0.93251,0.83303,0.74826,0.82698,0.92979,-164
0.33849,0.83466,0.93294,0.82898,0.75909,0.84022,0.93987,-163.5
0.38153,0.87322,0.93152,0.82378,0.76999,0.85382,0.94936,-163
0.43195,0.90027,0.9292,0.81841,0.78084,0.8666,0.95825,-162.5
0.47721,0.92379,0.92619,0.81317,0.79147,0.87737,0.96653,-162
0.51252,0.94464,0.92259,0.80768,0.8018,0.88575,0.97419,-161.5
0.54171,0.96315,0.91849,0.80154,0.81192,0.89263,0.98124,-161
0.56908,0.97919,0.91398,0.79447,0.822,0.89903,0.98767,-160.5
0.59891,0.99259,0.90915,0.78719,0.83218,0.90597,0.99348,-160
0.6348,1.0033,0.90412,0.7809,0.84264,0.91446,0.99867,-159.5
0.67595,1.0111,0.89895,0.7768,0.85352,0.92552,1.0032,-159
0.72001,1.0161,0.89377,0.77608,0.86497,0.93955,1.0072,-158.5
0.76578,1.0182,0.88866,0.77981,0.87717,0.95533,1.0107,-158
0.81238,1.0174,0.88386,0.78774,0.89023,0.97141,1.0138,-157.5
0.85815,1.0141,0.87962,0.799,0.90399,0.98632,1.0166,-157
0.90124,1.0089,0.87622,0.81271,0.91799,0.99935,1.0193,-156.5
0.93984,1.0023,0.87393,0.82799,0.93174,1.0105,1.0219,-156
0.97323,0.99462,0.87301,0.84397,0.94481,1.0196,1.0246,-155.5
1.0016,0.98643,0.87371,0.85985,0.957,1.0269,1.0274,-155
1.0251,0.97817,0.87583,0.87524,0.9685,1.0322,1.0303,-154.5
1.044,0.9702,0.87892,0.8898,0.97948,1.0358,1.0331,-154
1.0588,0.96291,0.88249,0.90325,0.99014,1.0379,1.0356,-153.5
1.0701,0.95665,0.88607,0.9153,1.0006,1.0389,1.0377,-153
1.0782,0.9518,0.88917,0.92609,1.0112,1.0392,1.0391,-152.5
1.0838,0.94867,0.89181,0.93597,1.0219,1.0393,1.0398,-152
1.0873,0.94713,0.8949,0.94528,1.0324,1.0395,1.0396,-151.5
1.089,0.94677,0.89949,0.95436,1.0426,1.0401,1.0382,-151
1.0891,0.94724,0.9066,0.96355,1.0519,1.0412,1.0359,-150.5
1.0877,0.94813,0.9171,0.97319,1.06,1.0426,1.0329,-150
1.085,0.94907,0.93043,0.98362,1.0666,1.0442,1.0294,-149.5
1.0812,0.94968,0.94519,0.99484,1.0713,1.0455,1.0255,-149
1.0764,0.94965,0.95999,1.0064,1.0742,1.0465,1.0216,-148.5
1.0709,0.94928,0.97345,1.0178,1.0758,1.047,1.0178,-148
1.0648,0.94909,0.98456,1.0286,1.0761,1.0466,1.0143,-147.5
1.0583,0.94962,0.99381,1.0383,1.0757,1.0454,1.0112,-147
1.0515,0.9514,1.002,1.0465,1.0748,1.0436,1.0087,-146.5
